date,close,source
2011-12-20,3.9526,coinmetrics
2011-12-21,3.8890,coinmetrics
2011-12-22,3.9031,coinmetrics
2011-12-23,3.9380,coinmetrics
2011-12-24,3.9394,coinmetrics
2011-12-25,4.2339,coinmetrics
2011-12-26,3.9991,coinmetrics
2011-12-27,4.0955,coinmetrics
2011-12-28,4.2073,coinmetrics
2011-12-29,4.1734,coinmetrics
2011-12-30,4.3106,coinmetrics
2011-12-31,4.7143,coinmetrics
2012-01-01,5.2948,coinmetrics
2012-01-02,5.2049,coinmetrics
2012-01-03,4.8705,coinmetrics
2012-01-04,5.5857,coinmetrics
2012-01-05,6.8740,coinmetrics
2012-01-06,6.6833,coinmetrics
2012-01-07,6.7962,coinmetrics
2012-01-08,7.0967,coinmetrics
2012-01-09,6.2885,coinmetrics
2012-01-10,6.5285,coinmetrics
2012-01-11,6.8891,coinmetrics
2012-01-12,6.7736,coinmetrics
2012-01-13,6.4544,coinmetrics
2012-01-14,6.7617,coinmetrics
2012-01-15,7.0469,coinmetrics
2012-01-16,6.7156,coinmetrics
2012-01-17,5.5996,coinmetrics
2012-01-18,5.9002,coinmetrics
2012-01-19,6.3157,coinmetrics
2012-01-20,6.5015,coinmetrics
2012-01-21,6.1806,coinmetrics
2012-01-22,6.3030,coinmetrics
2012-01-23,6.3749,coinmetrics
2012-01-24,6.2745,coinmetrics
2012-01-25,5.8105,coinmetrics
2012-01-26,5.3672,coinmetrics
2012-01-27,5.3031,coinmetrics
2012-01-28,5.6598,coinmetrics
2012-01-29,5.3914,coinmetrics
2012-01-30,5.5035,coinmetrics
2012-01-31,5.5382,coinmetrics
2012-02-01,6.0752,coinmetrics
2012-02-02,6.0996,coinmetrics
2012-02-03,5.9516,coinmetrics
2012-02-04,5.8954,coinmetrics
2012-02-05,5.6781,coinmetrics
2012-02-06,5.4827,coinmetrics
2012-02-07,5.6620,coinmetrics
2012-02-08,5.6185,coinmetrics
2012-02-09,5.8357,coinmetrics
2012-02-10,5.9378,coinmetrics
2012-02-11,5.6121,coinmetrics
2012-02-12,5.5191,coinmetrics
2012-02-13,5.3483,coinmetrics
2012-02-14,4.4836,coinmetrics
2012-02-15,4.3255,coinmetrics
2012-02-16,4.2552,coinmetrics
